================================================== stage: s1-cleanup ==================================================
---------------------------------- mission: MBE1BF6ECBD, driver: driver1 ----------------------------------
2015-11-07 11:40:34,834 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects302
2015-11-07 11:40:34,847 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects303
2015-11-07 11:40:34,860 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects304
2015-11-07 11:40:34,876 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects305
2015-11-07 11:40:34,887 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects306
2015-11-07 11:40:34,904 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects307
2015-11-07 11:40:34,920 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects308
2015-11-07 11:40:34,934 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects309
2015-11-07 11:40:34,951 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects310
2015-11-07 11:40:34,967 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects311
2015-11-07 11:40:34,987 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects312
2015-11-07 11:40:35,006 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects313
2015-11-07 11:40:35,023 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects314
2015-11-07 11:40:35,036 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects315
2015-11-07 11:40:35,051 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects316
2015-11-07 11:40:35,065 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects317
2015-11-07 11:40:35,081 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects318
2015-11-07 11:40:35,097 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects319
2015-11-07 11:40:35,115 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects320
2015-11-07 11:40:35,128 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects321
2015-11-07 11:40:35,143 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects322
2015-11-07 11:40:35,160 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects323
2015-11-07 11:40:35,176 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects324
2015-11-07 11:40:35,190 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects325
2015-11-07 11:40:35,210 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects326
2015-11-07 11:40:35,228 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects327
2015-11-07 11:40:35,243 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects328
2015-11-07 11:40:35,265 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects329
2015-11-07 11:40:35,282 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects330
2015-11-07 11:40:35,301 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects331
2015-11-07 11:40:35,315 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects332
2015-11-07 11:40:35,330 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects333
2015-11-07 11:40:35,346 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects334
2015-11-07 11:40:35,362 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects335
2015-11-07 11:40:35,374 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects336
2015-11-07 11:40:35,388 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects337
2015-11-07 11:40:35,400 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects338
2015-11-07 11:40:35,419 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects339
2015-11-07 11:40:35,431 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects340
2015-11-07 11:40:35,461 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects341
2015-11-07 11:40:35,479 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects342
2015-11-07 11:40:35,495 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects343
2015-11-07 11:40:35,510 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects344
2015-11-07 11:40:35,527 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects345
2015-11-07 11:40:35,540 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects346
2015-11-07 11:40:35,556 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects347
2015-11-07 11:40:35,568 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects348
2015-11-07 11:40:35,582 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects349
2015-11-07 11:40:35,602 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects350
2015-11-07 11:40:35,624 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects351
2015-11-07 11:40:35,641 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects352
2015-11-07 11:40:35,659 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects353
2015-11-07 11:40:35,679 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects354
2015-11-07 11:40:35,695 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects355
2015-11-07 11:40:35,711 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects356
2015-11-07 11:40:35,725 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects357
2015-11-07 11:40:35,740 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects358
2015-11-07 11:40:35,773 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects359
2015-11-07 11:40:35,786 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects360
2015-11-07 11:40:35,799 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects361
2015-11-07 11:40:35,817 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects362
