Linux 3.19.0-25-generic (dss-storage-1) 	10/27/2015 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          10.07    0.00    3.56    2.08    0.00   84.29

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sde               0.00    16.00    0.00   69.00     0.00 55252.00  1601.51     5.85   84.35    0.00   84.35  14.49 100.00
sdf               0.00    21.00    0.00   71.00     0.00 60464.00  1703.21     6.05   85.35    0.00   85.35  14.08 100.00
sdg               0.00    38.00    1.00   71.00     8.00 77436.00  2151.22     7.84  110.61  156.00  109.97  13.89 100.00
sdh               0.00    29.00    3.00   81.00    24.00 70700.00  1683.90     8.03   93.71   81.33   94.17  11.90 100.00
sdi               0.00    17.00    0.00   69.00     0.00 53708.00  1556.75     5.84   82.61    0.00   82.61  14.49 100.00
sdl               0.00    16.00    0.00   63.00     0.00 52400.00  1663.49     6.09   97.08    0.00   97.08  15.87 100.00
sdj               0.00    13.00    0.00   61.00     0.00 46932.00  1538.75     5.23   87.02    0.00   87.02  16.39 100.00
sdk               0.00    15.00    0.00   67.00     0.00 52988.00  1581.73     5.81   88.18    0.00   88.18  14.93 100.00
sdm               0.00    28.00    0.00   81.00     0.00 69644.00  1719.60     7.34   89.53    0.00   89.53  12.35 100.00
sdo               0.00    22.00    0.00   79.00     0.00 60020.00  1519.49     7.33   93.22    0.00   93.22  12.66 100.00
sdn               0.00    22.00    0.00   75.00     0.00 57384.00  1530.24     6.28   80.85    0.00   80.85  13.33 100.00
sdp               0.00    18.00    0.00   70.00     0.00 51360.00  1467.43     5.55   76.74    0.00   76.74  14.29 100.00
sdr               0.00    27.00    0.00   76.00     0.00 64104.00  1686.95     6.50   87.89    0.00   87.89  13.16 100.00
sds               0.00    15.00    3.00   64.00    24.00 50068.00  1495.28     5.65   80.36   64.00   81.12  14.93 100.00
sdt               0.00    39.00    1.00   83.00     8.00 77980.00  1856.86     7.33   83.95   92.00   83.86  11.90 100.00
sdq               0.00    22.00    0.00   72.00     0.00 58904.00  1636.22     5.79   82.11    0.00   82.11  13.89 100.00
sdv               0.00    22.00    0.00   66.00     0.00 55768.00  1689.94     6.07   95.58    0.00   95.58  14.97  98.80
sdw               0.00     6.00    0.00   30.00     0.00 25736.00  1715.73     3.04  101.87    0.00  101.87  27.07  81.20
sdu               0.00    14.00    0.00   54.00     0.00 44060.00  1631.85     4.05   76.07    0.00   76.07  17.56  94.80
sdy               0.00    29.00    0.00   76.00     0.00 69040.00  1816.84     6.34   92.68    0.00   92.68  13.21 100.40
sdx               0.00    20.00    1.00   82.00     8.00 66408.00  1600.39     6.93   96.34  176.00   95.37  12.05 100.00
sdz               0.00     5.00    0.00    3.00     0.00    64.00    42.67     0.03   10.67    0.00   10.67  10.67   3.20
dm-0              0.00     0.00    0.00    8.00     0.00    64.00    16.00     0.09   11.50    0.00   11.50   4.00   3.20
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          30.86    0.00   16.67   21.97    0.00   30.50

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00    16.00    0.00   60.00     0.00 45712.00  1523.73     3.64   57.87    0.00   57.87  14.53  87.20
sdb               0.00    17.00    1.00   68.00     4.00 56156.00  1627.83     4.43   65.91   64.00   65.94  14.43  99.60
sdc               0.00    27.00    0.00   88.00     0.00 75224.00  1709.64     7.03   79.50    0.00   79.50  11.36 100.00
sdd               0.00    16.00    0.00   81.00     0.00 60652.00  1497.58     4.84   58.96    0.00   58.96  12.20  98.80
sde               0.00    17.00    0.00   45.00     0.00 42428.00  1885.69     2.99   64.09    0.00   64.09  22.04  99.20
sdf               0.00    19.00    0.00   67.00     0.00 54448.00  1625.31     5.58   83.52    0.00   83.52  14.87  99.60
sdg               0.00    49.00    0.00  101.00     0.00 98804.00  1956.51     9.22   92.55    0.00   92.55   9.90 100.00
sdh               0.00    67.00    6.00  443.00    48.00 77762.50   346.59     7.06   15.79   66.67   15.10   2.23 100.00
sdi               0.00    16.00    0.00   59.00     0.00 46672.00  1582.10     4.38   77.49    0.00   77.49  16.88  99.60
sdl               0.00    20.00    0.00   54.00     0.00 45824.00  1697.19     3.64   66.59    0.00   66.59  18.44  99.60
