Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w15-s11-64k-64t-1,read,113119,7239616000,64,33.61,16.39,20,20,30,250,290,7050,1905.51,121952362.84,100%,100% cprefix=dssreadbench containers=u(11-20) oprefix= osuffix=myobject objects=r(1-10)
w15-s12-64k-128t-1,read,113205,7245120000,128,67.53,22.51,20,40,260,270,740,9810,1894.9,121273894.34,100%,100% cprefix=dssreadbench containers=u(11-20) oprefix= osuffix=myobject objects=r(1-10)
w15-s13-1m-1t-1,read,1537,1573888000,1,39.01,22.38,40,50,60,80,110,570,25.63,26243713.73,100%,100% cprefix=dssreadbench containers=u(21-30) oprefix= osuffix=myobject objects=r(1-10)
w15-s14-1m-4t-1,read,5865,6005760000,4,40.89,24.35,40,40,50,100,280,730,97.81,100158585.48,100%,100% cprefix=dssreadbench containers=u(21-30) oprefix= osuffix=myobject objects=r(1-10)
w15-s15-1m-16t-1,read,7144,7315456000,16,133.99,23.51,90,160,280,380,980,3630,119.4,122266798.77,100%,100% cprefix=dssreadbench containers=u(21-30) oprefix= osuffix=myobject objects=r(1-10)
w15-s16-1m-32t-1,read,7134,7305216000,32,268.16,26.98,200,390,500,750,1220,4990,119.34,122200193.21,100%,100% cprefix=dssreadbench containers=u(21-30) oprefix= osuffix=myobject objects=r(1-10)
w15-s17-1m-64t-1,read,7113,7283712000,64,533.99,21.47,510,790,1040,1510,2640,20860,119.84,122717983.85,100%,100% cprefix=dssreadbench containers=u(21-30) oprefix= osuffix=myobject objects=r(1-10)
w15-s18-1m-128t-1,read,7082,7251968000,128,1048.98,31.04,970,1520,2030,2730,5430,35250,121.93,124851817.6,100%,100% cprefix=dssreadbench containers=u(21-30) oprefix= osuffix=myobject objects=r(1-10)
w15-s19-16m-1t-1,read,242,3964928000,1,244.71,40.76,250,290,330,370,410,570,4.04,66235579.09,84.91%,100% cprefix=dssreadbench containers=u(31-40) oprefix= osuffix=myobject objects=r(1-10)
w15-s20-16m-4t-1,read,443,7258112000,4,531.64,22.88,570,880,1080,1360,1600,2200,7.47,122449484.01,82.96%,100% cprefix=dssreadbench containers=u(31-40) oprefix= osuffix=myobject objects=r(1-10)
w15-s21-16m-16t-1,read,439,7192576000,16,2113.52,37.3,2240,3050,3710,4370,5110,6920,7.54,123599039.47,85.24%,100% cprefix=dssreadbench containers=u(31-40) oprefix= osuffix=myobject objects=r(1-10)
