================================================== stage: s1-init ==================================================
---------------------------------- mission: MDE1FCE4AB7, driver: driver1 ----------------------------------
2015-11-07 12:48:13,582 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/4myobject
2015-11-07 12:48:13,603 [INFO] [NoneStorage] - performing PUT at /dssreadbench9/5myobject
2015-11-07 12:48:13,624 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/6myobject
2015-11-07 12:48:13,667 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/7myobject
2015-11-07 12:48:13,689 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/8myobject
2015-11-07 12:48:13,709 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/9myobject
2015-11-07 12:48:13,733 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/10myobject
2015-11-07 12:48:13,758 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/1myobject
2015-11-07 12:48:13,802 [INFO] [NoneStorage] - performing PUT at /dssreadbench9/2myobject
2015-11-07 12:48:13,824 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/3myobject
2015-11-07 12:48:13,843 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/4myobject
2015-11-07 12:48:13,865 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/5myobject
2015-11-07 12:48:13,886 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/6myobject
2015-11-07 12:48:13,908 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/7myobject
2015-11-07 12:48:13,942 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/8myobject
2015-11-07 12:48:13,969 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/9myobject
2015-11-07 12:48:13,988 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/10myobject
2015-11-07 12:48:14,012 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/1myobject
2015-11-07 12:48:14,036 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/2myobject
2015-11-07 12:48:14,056 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/3myobject
2015-11-07 12:48:14,084 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/4myobject
2015-11-07 12:48:14,104 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/5myobject
2015-11-07 12:48:14,139 [INFO] [NoneStorage] - performing PUT at /dssreadbench9/6myobject
2015-11-07 12:48:14,162 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/7myobject
2015-11-07 12:48:14,185 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/8myobject
2015-11-07 12:48:14,232 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/9myobject
2015-11-07 12:48:14,278 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/10myobject
2015-11-07 12:48:14,335 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/1myobject
2015-11-07 12:48:14,360 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/2myobject
2015-11-07 12:48:14,382 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/3myobject
2015-11-07 12:48:14,402 [INFO] [NoneStorage] - performing PUT at /dssreadbench9/4myobject
2015-11-07 12:48:14,421 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/5myobject
2015-11-07 12:48:14,467 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/6myobject
2015-11-07 12:48:14,498 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/7myobject
2015-11-07 12:48:14,521 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/8myobject
2015-11-07 12:48:14,545 [INFO] [NoneStorage] - performing PUT at /dssreadbench9/9myobject
2015-11-07 12:48:14,567 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/10myobject
2015-11-07 12:48:14,614 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/1myobject
2015-11-07 12:48:14,657 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/2myobject
2015-11-07 12:48:14,679 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/3myobject
2015-11-07 12:48:14,713 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/4myobject
2015-11-07 12:48:14,794 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/5myobject
2015-11-07 12:48:14,815 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/6myobject
2015-11-07 12:48:14,835 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/7myobject
2015-11-07 12:48:14,856 [INFO] [NoneStorage] - performing PUT at /dssreadbench9/8myobject
2015-11-07 12:48:14,880 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/9myobject
2015-11-07 12:48:14,898 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/10myobject
2015-11-07 12:48:14,959 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/1myobject
2015-11-07 12:48:14,982 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/2myobject
2015-11-07 12:48:15,071 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/3myobject
2015-11-07 12:48:15,093 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/4myobject
2015-11-07 12:48:15,114 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/5myobject
2015-11-07 12:48:15,147 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/6myobject
2015-11-07 12:48:15,185 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/7myobject
2015-11-07 12:48:15,247 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/8myobject
2015-11-07 12:48:15,275 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/9myobject
2015-11-07 12:48:15,296 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/10myobject
2015-11-07 12:48:15,345 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/1myobject
2015-11-07 12:48:15,390 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/2myobject
2015-11-07 12:48:15,414 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/3myobject
2015-11-07 12:48:15,456 [INFO] [NoneStorage] - performing PUT at /dssreadbench9/4myobject
2015-11-07 12:48:15,499 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/5myobject
2015-11-07 12:48:15,546 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/6myobject
2015-11-07 12:48:15,583 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/7myobject
2015-11-07 12:48:15,614 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/8myobject
2015-11-07 12:48:15,642 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/9myobject
2015-11-07 12:48:15,685 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/10myobject
2015-11-07 12:48:15,729 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/1myobject
2015-11-07 12:48:15,752 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/2myobject
2015-11-07 12:48:15,793 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/3myobject
2015-11-07 12:48:15,816 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/4myobject
2015-11-07 12:48:15,840 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/5myobject
2015-11-07 12:48:15,861 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/6myobject
2015-11-07 12:48:15,884 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/7myobject
2015-11-07 12:48:15,906 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/8myobject
2015-11-07 12:48:15,937 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/9myobject
2015-11-07 12:48:15,959 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/10myobject
2015-11-07 12:48:16,001 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/1myobject
2015-11-07 12:48:16,022 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/2myobject
2015-11-07 12:48:16,061 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/3myobject
2015-11-07 12:48:16,102 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/4myobject
2015-11-07 12:48:16,123 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/5myobject
2015-11-07 12:48:16,190 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/6myobject
2015-11-07 12:48:16,347 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/7myobject
2015-11-07 12:48:16,387 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/8myobject
2015-11-07 12:48:16,407 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/9myobject
2015-11-07 12:48:16,428 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/10myobject
2015-11-07 12:48:16,447 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/1myobject
2015-11-07 12:48:16,468 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/2myobject
2015-11-07 12:48:16,505 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/3myobject
2015-11-07 12:48:16,530 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/4myobject
2015-11-07 12:48:16,556 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/5myobject
2015-11-07 12:48:16,585 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/6myobject
2015-11-07 12:48:16,607 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/7myobject
2015-11-07 12:48:16,638 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/8myobject
2015-11-07 12:48:16,712 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/9myobject
2015-11-07 12:48:16,735 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/10myobject
2015-11-07 12:48:16,758 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/1myobject
