Linux 3.19.0-25-generic (dss-storage-2) 	10/27/2015 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           8.45    0.00    3.58    1.57    0.00   86.40

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdr               0.00    36.00    2.00  255.00    16.00 24145.00   188.02    41.73  165.18  360.00  163.65   3.89 100.00
sdt               0.00     8.00    0.00   27.00     0.00 24324.00  1801.78     7.01  293.48    0.00  293.48  37.04 100.00
sdu               0.00    17.00    4.00   55.00    32.00 46948.00  1592.54    11.91  238.64  186.00  242.47  16.95 100.00
sdv               0.00    72.00    3.00  355.00    24.00 40205.00   224.74    66.50  170.35  286.67  169.36   2.79 100.00
sdw               0.00    30.00    4.00   41.00    32.00 36036.00  1603.02    18.94  267.02  259.00  267.80  22.22 100.00
sdx               0.00    17.00    0.00   42.00     0.00 38380.00  1827.62    10.75  268.38    0.00  268.38  23.81 100.00
sdy               0.00    15.00    0.00   37.00     0.00 37788.00  2042.59     9.17  309.08    0.00  309.08  27.03 100.00
sds               0.00    53.00    2.00  203.00    16.00 28533.50   278.53    55.00  207.98  156.00  208.49   4.88 100.00
sdq               0.00     8.00    0.00  175.00     0.00 20696.00   236.53    35.27  397.53    0.00  397.53   5.69  99.60
sdz               0.00    69.00    0.00   40.00     0.00  9852.00   492.60     1.03   25.80    0.00   25.80  11.30  45.20
dm-0              0.00     0.00    0.00  109.00     0.00  9852.00   180.77     2.96   27.19    0.00   27.19   4.15  45.20
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          39.29    0.00   18.09   16.62    0.00   26.00

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     9.00    0.00   40.00     0.00 34668.00  1733.40     9.18  238.00    0.00  238.00  24.80  99.20
sdb               0.00    16.00    0.00   44.00     0.00 35772.00  1626.00     8.93  204.36    0.00  204.36  22.73 100.00
sdc               0.00    14.00    0.00   44.00     0.00 34473.00  1566.95    11.69  290.73    0.00  290.73  22.73 100.00
sdd               0.00    20.00    0.00   46.00     0.00 43204.00  1878.43     9.62  213.57    0.00  213.57  21.74 100.00
sdf               0.00    18.00    4.00   45.00    32.00 40460.00  1652.73    11.57  240.08  253.00  238.93  20.41 100.00
sde               0.00    24.00    0.00   49.00     0.00 45412.00  1853.55    10.44  231.27    0.00  231.27  20.41 100.00
sdg               0.00    13.00    0.00   33.00     0.00 30504.00  1848.73     8.93  241.94    0.00  241.94  30.30 100.00
sdh               0.00    10.00    0.00   41.00     0.00 34908.00  1702.83     8.06  231.90    0.00  231.90  24.39 100.00
sdi               0.00    25.00    2.00  178.00    16.00 33077.50   367.71    14.71   86.56  368.00   83.39   5.56 100.00
sdj               0.00    17.00    0.00   43.00     0.00 31364.50  1458.81     9.76  242.98    0.00  242.98  23.26 100.00
