================================================== stage: s1-64m-1t ==================================================
---------------------------------- mission: M7E24F0CD29, driver: driver1 ----------------------------------
2015-11-07 14:20:20,482 [INFO] [NoneStorage] - performing GET at /dssreadbench42/3myobject
2015-11-07 14:20:20,875 [INFO] [NoneStorage] - performing GET at /dssreadbench43/4myobject
2015-11-07 14:20:21,011 [INFO] [NoneStorage] - performing GET at /dssreadbench42/5myobject
2015-11-07 14:20:21,302 [INFO] [NoneStorage] - performing GET at /dssreadbench50/6myobject
2015-11-07 14:20:21,788 [INFO] [NoneStorage] - performing GET at /dssreadbench47/7myobject
2015-11-07 14:20:21,871 [INFO] [NoneStorage] - performing GET at /dssreadbench47/8myobject
2015-11-07 14:20:23,564 [INFO] [NoneStorage] - performing GET at /dssreadbench47/9myobject
2015-11-07 14:20:23,956 [INFO] [NoneStorage] - performing GET at /dssreadbench44/10myobject
2015-11-07 14:20:24,785 [INFO] [NoneStorage] - performing GET at /dssreadbench42/1myobject
2015-11-07 14:20:26,452 [INFO] [NoneStorage] - performing GET at /dssreadbench43/2myobject
2015-11-07 14:20:26,727 [INFO] [NoneStorage] - performing GET at /dssreadbench41/3myobject
2015-11-07 14:20:27,240 [INFO] [NoneStorage] - performing GET at /dssreadbench49/4myobject
2015-11-07 14:20:27,574 [INFO] [NoneStorage] - performing GET at /dssreadbench41/5myobject
2015-11-07 14:20:27,709 [INFO] [NoneStorage] - performing GET at /dssreadbench43/6myobject
2015-11-07 14:20:28,649 [INFO] [NoneStorage] - performing GET at /dssreadbench46/7myobject
2015-11-07 14:20:28,777 [INFO] [NoneStorage] - performing GET at /dssreadbench41/8myobject
2015-11-07 14:20:29,126 [INFO] [NoneStorage] - performing GET at /dssreadbench41/9myobject
2015-11-07 14:20:29,695 [INFO] [NoneStorage] - performing GET at /dssreadbench46/10myobject
2015-11-07 14:20:30,011 [INFO] [NoneStorage] - performing GET at /dssreadbench43/1myobject
2015-11-07 14:20:30,171 [INFO] [NoneStorage] - performing GET at /dssreadbench46/2myobject
2015-11-07 14:20:30,610 [INFO] [NoneStorage] - performing GET at /dssreadbench47/3myobject
2015-11-07 14:20:30,949 [INFO] [NoneStorage] - performing GET at /dssreadbench41/4myobject
2015-11-07 14:20:32,073 [INFO] [NoneStorage] - performing GET at /dssreadbench48/5myobject
2015-11-07 14:20:34,787 [INFO] [NoneStorage] - performing GET at /dssreadbench47/6myobject
2015-11-07 14:20:35,386 [INFO] [NoneStorage] - performing GET at /dssreadbench43/7myobject
2015-11-07 14:20:35,839 [INFO] [NoneStorage] - performing GET at /dssreadbench45/8myobject
2015-11-07 14:20:37,056 [INFO] [NoneStorage] - performing GET at /dssreadbench47/9myobject
2015-11-07 14:20:37,067 [INFO] [NoneStorage] - performing GET at /dssreadbench44/10myobject
2015-11-07 14:20:37,392 [INFO] [NoneStorage] - performing GET at /dssreadbench41/1myobject
2015-11-07 14:20:37,523 [INFO] [NoneStorage] - performing GET at /dssreadbench43/2myobject
2015-11-07 14:20:38,884 [INFO] [NoneStorage] - performing GET at /dssreadbench42/3myobject
2015-11-07 14:20:40,310 [INFO] [NoneStorage] - performing GET at /dssreadbench49/4myobject
2015-11-07 14:22:32,760 [ERROR] [AbstractOperator] - worker 1 fail to perform operation dssreadbench45/8myobject
java.net.SocketTimeoutException: Read timed out
	at java.net.SocketInputStream.socketRead0(Native Method)
	at java.net.SocketInputStream.read(SocketInputStream.java:152)
	at java.net.SocketInputStream.read(SocketInputStream.java:122)
	at org.apache.http.impl.io.AbstractSessionInputBuffer.read(AbstractSessionInputBuffer.java:187)
	at org.apache.http.impl.io.ContentLengthInputStream.read(ContentLengthInputStream.java:164)
