================================================== stage: s1-dispose ==================================================
---------------------------------- mission: MFE184CCC1F, driver: driver1 ----------------------------------
2015-11-07 10:37:11,019 [INFO] [NoneStorage] - performing DELETE at /dsswritebench239
2015-11-07 10:37:11,063 [INFO] [NoneStorage] - performing DELETE at /dsswritebench240
2015-11-07 10:37:11,098 [INFO] [NoneStorage] - performing DELETE at /dsswritebench241
2015-11-07 10:37:11,122 [INFO] [NoneStorage] - performing DELETE at /dsswritebench242
2015-11-07 10:37:11,254 [INFO] [NoneStorage] - performing DELETE at /dsswritebench243
2015-11-07 10:37:11,284 [INFO] [NoneStorage] - performing DELETE at /dsswritebench244
2015-11-07 10:37:11,320 [INFO] [NoneStorage] - performing DELETE at /dsswritebench245
2015-11-07 10:37:11,346 [INFO] [NoneStorage] - performing DELETE at /dsswritebench246
2015-11-07 10:37:11,374 [INFO] [NoneStorage] - performing DELETE at /dsswritebench247
2015-11-07 10:37:11,403 [INFO] [NoneStorage] - performing DELETE at /dsswritebench248
2015-11-07 10:37:11,430 [INFO] [NoneStorage] - performing DELETE at /dsswritebench249
2015-11-07 10:37:11,466 [INFO] [NoneStorage] - performing DELETE at /dsswritebench250
2015-11-07 10:37:11,514 [INFO] [NoneStorage] - performing DELETE at /dsswritebench251
2015-11-07 10:37:11,540 [INFO] [NoneStorage] - performing DELETE at /dsswritebench252
2015-11-07 10:37:11,570 [INFO] [NoneStorage] - performing DELETE at /dsswritebench253
2015-11-07 10:37:11,596 [INFO] [NoneStorage] - performing DELETE at /dsswritebench254
2015-11-07 10:37:11,645 [INFO] [NoneStorage] - performing DELETE at /dsswritebench255
2015-11-07 10:37:11,671 [INFO] [NoneStorage] - performing DELETE at /dsswritebench256
2015-11-07 10:37:11,698 [INFO] [NoneStorage] - performing DELETE at /dsswritebench257
2015-11-07 10:37:11,743 [INFO] [NoneStorage] - performing DELETE at /dsswritebench258
2015-11-07 10:37:11,777 [INFO] [NoneStorage] - performing DELETE at /dsswritebench259
2015-11-07 10:37:11,802 [INFO] [NoneStorage] - performing DELETE at /dsswritebench260
2015-11-07 10:37:11,827 [INFO] [NoneStorage] - performing DELETE at /dsswritebench261
2015-11-07 10:37:11,852 [INFO] [NoneStorage] - performing DELETE at /dsswritebench262
2015-11-07 10:37:11,894 [INFO] [NoneStorage] - performing DELETE at /dsswritebench263
2015-11-07 10:37:11,934 [INFO] [NoneStorage] - performing DELETE at /dsswritebench264
2015-11-07 10:37:11,960 [INFO] [NoneStorage] - performing DELETE at /dsswritebench265
2015-11-07 10:37:12,002 [INFO] [NoneStorage] - performing DELETE at /dsswritebench266
2015-11-07 10:37:12,025 [INFO] [NoneStorage] - performing DELETE at /dsswritebench267
2015-11-07 10:37:12,067 [INFO] [NoneStorage] - performing DELETE at /dsswritebench268
2015-11-07 10:37:12,111 [INFO] [NoneStorage] - performing DELETE at /dsswritebench269
2015-11-07 10:37:12,138 [INFO] [NoneStorage] - performing DELETE at /dsswritebench270
2015-11-07 10:37:12,164 [INFO] [NoneStorage] - performing DELETE at /dsswritebench271
2015-11-07 10:37:12,189 [INFO] [NoneStorage] - performing DELETE at /dsswritebench272
2015-11-07 10:37:12,213 [INFO] [NoneStorage] - performing DELETE at /dsswritebench273
2015-11-07 10:37:12,237 [INFO] [NoneStorage] - performing DELETE at /dsswritebench274
2015-11-07 10:37:12,297 [INFO] [NoneStorage] - performing DELETE at /dsswritebench275
2015-11-07 10:37:12,322 [INFO] [NoneStorage] - performing DELETE at /dsswritebench276
2015-11-07 10:37:12,350 [INFO] [NoneStorage] - performing DELETE at /dsswritebench277
2015-11-07 10:37:12,383 [INFO] [NoneStorage] - performing DELETE at /dsswritebench278
2015-11-07 10:37:12,412 [INFO] [NoneStorage] - performing DELETE at /dsswritebench279
2015-11-07 10:37:12,450 [INFO] [NoneStorage] - performing DELETE at /dsswritebench280
2015-11-07 10:37:12,474 [INFO] [NoneStorage] - performing DELETE at /dsswritebench281
